Ano;EnerPrimariaTotalktep;Porcentage1990
1990;88455;100.00%
1991;91891;103.88%
1992;93747;105.98%
1993;90143;101.91%
1994;95306;107.75%
1995;102690;116.09%
1996;101342;114.57%
1997;107818;121.89%
1998;113216;127.99%
1999;118690;134.18%
2000;124024;140.21%
2001;127283;143.90%
2002;130900;147.98%
2003;135461;153.14%
2004;141601;160.08%
2005;144478;163.34%
2006;144278;163.11%
2007;146891;166.06%
2008;141677;160.17%
2009;130154;147.14%
2010;129990;146.96%
2011;129365;146.25%
2012;128939;145.77%
2013;120624;136.37%
2014;117824;133.20%
2015;122385;138.36%
2016;123705;139.85%
2017;130142;147.13%
2018;129819;146.76%
2019;126107;142.57%